sequence_id,type,start,end,strand,locus_tag_bakta,gene,flag,product,dbxrefs,name
chromosome,cds,70,1404,+,CS12_00001,dnaA,cds,chromosomal replication initiator protein DnaA,"COG:COG0593, COG:L, EC:3.6.4.-, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, RefSeq:WP_001338666.1, SO:0001217, UniParc:UPI00005EEB06, UniRef:UniRef100_A0A2X3A319, UniRef:UniRef50_P03004, UniRef:UniRef90_P03004",dnaA
chromosome,ncRNA,511,591,-,CS12_00002,asdA,ncRNA,antisense RNA of dnaA mRNA,"RFAM:RF02674, SO:0000644",asdA
chromosome,cds,1409,2509,+,CS12_00003,dnaN,cds,DNA polymerase III subunit beta,"COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005829, GO:0006260, GO:0006261, GO:0006271, GO:0006974, GO:0008408, GO:0009360, GO:0030174, GO:0030894, GO:0032297, GO:0042276, GO:0042802, GO:0042803, GO:0044787, GO:1990078, GO:1990085, KEGG:K02338, RefSeq:WP_000673464.1, SO:0001217, UniParc:UPI00001129AC, UniRef:UniRef100_P0A988, UniRef:UniRef50_P0A988, UniRef:UniRef90_P0A988",dnaN
chromosome,cds,2509,3582,+,CS12_00004,recF,cds,DNA replication/repair protein RecF,"COG:COG1195, COG:L, GO:0000731, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0006302, GO:0006310, GO:0009432, RefSeq:WP_000060112.1, SO:0001217, UniParc:UPI000016552D, UniRef:UniRef100_P0A7H0, UniRef:UniRef50_P0A7H0, UniRef:UniRef90_P0A7H0",recF
chromosome,cds,3611,6025,+,CS12_00005,gyrB,cds,DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB,"COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0034335, GO:0046677, GO:0046872, KEGG:K02470, RefSeq:WP_000072067.1, SO:0001217, UniParc:UPI000016552C, UniRef:UniRef100_P0AES6, UniRef:UniRef50_P0AES6, UniRef:UniRef90_P0AES6",gyrB
chromosome,ncRNA,6068,6110,-,CS12_00006,ES036,ncRNA,ES036 (CssrF) sRNA,"RFAM:RF02751, SO:0000655",ES036
chromosome,cds,6265,6663,+,CS12_00007,yidB,cds,putative protein YidB,"RefSeq:WP_000522208.1, SO:0001217, UniParc:UPI000013B3A6, UniRef:UniRef100_P09996, UniRef:UniRef50_P09996, UniRef:UniRef90_P09996",yidB
chromosome,cds,6778,7590,+,CS12_00008,yidA,cds,sugar-phosphatase,"COG:COG0561, COG:HR, EC:3.1.3.23, GO:0000287, GO:0005829, GO:0016311, GO:0016787, GO:0016791, GO:0050308, KEGG:K21064, RefSeq:WP_000985549.1, SO:0001217, UniParc:UPI000013B3A5, UniRef:UniRef100_P0A8Y5, UniRef:UniRef50_P0A8Y5, UniRef:UniRef90_P0A8Y5",yidA
chromosome,cds,7636,8292,-,CS12_00009,yidX,cds,putative protein YidX,"GO:0016020, RefSeq:WP_000772934.1, SO:0001217, UniParc:UPI000013B3BC, UniRef:UniRef100_P0ADM6, UniRef:UniRef50_P0ADM6, UniRef:UniRef90_P0ADM6",yidX
chromosome,cds,8570,9259,+,CS12_00010,dgoR,cds,D-galactonate utilization transcriptional regulator DgoR,"BlastRules:WP_000174305, GO:0000976, GO:0000987, GO:0001217, GO:0003677, GO:0042802, GO:0046872, GO:0098531, GO:2000143, KEGG:K19776, RefSeq:WP_000174305.1, SO:0001217, UniParc:UPI000000E7A9, UniRef:UniRef100_P31460, UniRef:UniRef50_P31460, UniRef:UniRef90_P31460",dgoR
